run_id,scenario,loss_percent,truth_count,detector_alerts,zeek_alerts,suricata_alerts,detector_recall_pct,zeek_recall_pct,suricata_recall_pct
20260428T045447Z,reliability-arp-mitm-dns,50,9,6,6,6,66.667,66.667,66.667
20260428T120952Z,reliability-arp-mitm-dns,50,9,5,5,5,55.556,55.556,55.556
20260428T121153Z,reliability-arp-mitm-dns,50,9,6,6,6,66.667,66.667,66.667
20260428T121354Z,reliability-arp-mitm-dns,50,8,7,7,7,87.500,87.500,87.500
20260428T014659Z,reliability-arp-mitm-dns,60,9,5,5,5,55.556,55.556,55.556
20260428T014900Z,reliability-arp-mitm-dns,60,8,5,5,5,62.500,62.500,62.500
20260428T015100Z,reliability-arp-mitm-dns,60,9,3,3,3,33.333,33.333,33.333
20260428T045648Z,reliability-arp-mitm-dns,60,9,2,2,2,22.222,22.222,22.222
20260428T045849Z,reliability-arp-mitm-dns,60,9,2,2,2,22.222,22.222,22.222
20260428T050050Z,reliability-arp-mitm-dns,60,9,3,3,3,33.333,33.333,33.333
20260428T050254Z,reliability-arp-mitm-dns,60,9,5,5,5,55.556,55.556,55.556
20260428T050456Z,reliability-arp-mitm-dns,60,9,4,4,4,44.444,44.444,44.444
20260428T050658Z,reliability-arp-mitm-dns,60,8,3,3,3,37.500,37.500,37.500
20260428T050859Z,reliability-arp-mitm-dns,60,9,6,6,6,66.667,66.667,66.667
20260428T051100Z,reliability-arp-mitm-dns,60,9,3,3,3,33.333,33.333,33.333
20260428T051301Z,reliability-arp-mitm-dns,60,9,2,2,2,22.222,22.222,22.222
20260428T121555Z,reliability-arp-mitm-dns,60,9,1,1,1,11.111,11.111,11.111
20260428T121756Z,reliability-arp-mitm-dns,60,9,5,5,5,55.556,55.556,55.556
20260428T121956Z,reliability-arp-mitm-dns,60,9,5,5,5,55.556,55.556,55.556
20260428T015300Z,reliability-arp-mitm-dns,70,9,3,3,3,33.333,33.333,33.333
20260428T015502Z,reliability-arp-mitm-dns,70,9,2,2,2,22.222,22.222,22.222
20260428T015703Z,reliability-arp-mitm-dns,70,8,3,3,3,37.500,37.500,37.500
20260428T051503Z,reliability-arp-mitm-dns,70,8,2,2,2,25.000,25.000,25.000
20260428T051706Z,reliability-arp-mitm-dns,70,9,2,2,2,22.222,22.222,22.222
20260428T051906Z,reliability-arp-mitm-dns,70,8,3,3,3,37.500,37.500,37.500
20260428T052108Z,reliability-arp-mitm-dns,70,9,2,2,2,22.222,22.222,22.222
20260428T052309Z,reliability-arp-mitm-dns,70,9,1,1,1,11.111,11.111,11.111
20260428T052513Z,reliability-arp-mitm-dns,70,9,2,2,2,22.222,22.222,22.222
20260428T052714Z,reliability-arp-mitm-dns,70,9,1,1,1,11.111,11.111,11.111
20260428T052915Z,reliability-arp-mitm-dns,70,9,3,3,3,33.333,33.333,33.333
20260428T053118Z,reliability-arp-mitm-dns,70,9,5,5,5,55.556,55.556,55.556
20260428T122159Z,reliability-arp-mitm-dns,70,9,3,3,3,33.333,33.333,33.333
20260428T122402Z,reliability-arp-mitm-dns,70,9,4,4,4,44.444,44.444,44.444
20260428T122603Z,reliability-arp-mitm-dns,70,9,3,3,3,33.333,33.333,33.333
20260428T015904Z,reliability-arp-mitm-dns,80,9,1,1,1,11.111,11.111,11.111
20260428T020104Z,reliability-arp-mitm-dns,80,9,1,1,1,11.111,11.111,11.111
20260428T020305Z,reliability-arp-mitm-dns,80,9,2,2,2,22.222,22.222,22.222
20260428T053318Z,reliability-arp-mitm-dns,80,9,0,5,5,0.000,55.556,55.556
